p,replicate,max_unique,final_unique,max_adj_drop,rel_drop,gen_of_max_drop,t_half,collapse_flag
0.3,2,100.0,44.0,46.0,0.46,10,30,0
0.3,3,100.0,42.0,38.0,0.38,10,20,0
0.3,4,100.0,41.0,44.0,0.44,10,40,0
0.3,5,100.0,43.0,31.0,0.31,10,20,0
0.3,6,100.0,43.0,40.0,0.4,10,40,0
0.3,7,100.0,33.0,36.0,0.36,10,40,0
0.3,8,100.0,45.0,38.0,0.38,10,30,0
0.3,9,100.0,59.0,30.0,0.3,10,30,0
0.3,10,100.0,42.0,35.0,0.35,10,40,0
0.3,11,100.0,50.0,39.0,0.39,10,30,0
0.3,12,100.0,44.0,44.0,0.44,10,50,0
0.3,13,100.0,50.0,34.0,0.34,10,30,0
0.3,14,100.0,38.0,45.0,0.45,10,20,0
0.3,15,100.0,36.0,44.0,0.44,10,30,0
0.3,16,100.0,43.0,40.0,0.4,10,30,0
0.3,17,100.0,52.0,35.0,0.35,10,20,0
0.3,18,100.0,57.0,42.0,0.42,10,30,0
0.3,19,100.0,41.0,36.0,0.36,10,20,0
0.45,0,100.0,55.0,47.0,0.47,10,20,0
0.45,1,100.0,46.0,40.0,0.4,10,30,0
0.45,2,100.0,44.0,43.0,0.43,10,30,0
0.45,3,100.0,47.0,48.0,0.48,10,40,0
0.45,4,100.0,50.0,47.0,0.47,10,30,0
0.45,5,100.0,54.0,29.0,0.29,10,20,0
0.45,6,100.0,49.0,39.0,0.39,10,40,0
0.45,7,100.0,56.0,42.0,0.42,10,30,0
0.45,8,100.0,64.0,47.0,0.47,10,30,0
0.45,9,100.0,50.0,37.0,0.37,10,20,0
0.45,10,100.0,56.0,42.0,0.42,10,40,0
0.45,11,100.0,68.0,48.0,0.48,10,30,0
0.45,12,100.0,55.0,34.0,0.34,10,40,0
0.45,13,100.0,54.0,44.0,0.44,10,70,0
0.45,14,100.0,61.0,45.0,0.45,10,20,0
0.45,15,100.0,60.0,47.0,0.47,10,30,0
0.45,16,100.0,62.0,42.0,0.42,10,40,0
0.45,17,100.0,48.0,43.0,0.43,10,40,0
0.45,18,100.0,53.0,51.0,0.51,10,10,1
0.45,19,100.0,50.0,41.0,0.41,10,30,0
0.6,0,100.0,67.0,41.0,0.41,10,nan,0
0.6,1,100.0,67.0,49.0,0.49,10,nan,0
0.6,2,100.0,66.0,52.0,0.52,10,10,1
0.6,3,100.0,56.0,44.0,0.44,10,60,0
0.6,4,100.0,52.0,39.0,0.39,10,130,0
0.6,5,100.0,56.0,43.0,0.43,10,40,0
0.6,6,100.0,56.0,38.0,0.38,10,170,0
0.6,7,100.0,55.0,43.0,0.43,10,20,0
0.6,8,100.0,64.0,42.0,0.42,10,50,0
0.6,9,100.0,60.0,41.0,0.41,10,250,0
0.6,10,100.0,68.0,37.0,0.37,10,40,0
0.6,11,100.0,54.0,41.0,0.41,10,20,0
0.6,12,100.0,61.0,44.0,0.44,10,100,0
0.6,13,100.0,57.0,45.0,0.45,10,nan,0
0.6,14,100.0,64.0,29.0,0.29,10,nan,0
0.6,15,100.0,68.0,52.0,0.52,10,10,1
0.6,16,100.0,69.0,32.0,0.32,10,nan,0
0.6,17,100.0,56.0,36.0,0.36,10,nan,0
0.6,18,100.0,51.0,31.0,0.31,10,30,0
0.6,19,100.0,51.0,39.0,0.39,10,20,0
0.75,0,100.0,66.0,38.0,0.38,10,nan,0
0.75,1,100.0,71.0,37.0,0.37,10,nan,0
0.75,2,100.0,65.0,40.0,0.4,10,nan,0
0.75,3,100.0,64.0,30.0,0.3,10,nan,0
0.75,4,100.0,73.0,28.0,0.28,10,nan,0
0.75,5,100.0,61.0,39.0,0.39,10,nan,0
0.75,6,100.0,74.0,45.0,0.45,10,nan,0
0.75,7,100.0,64.0,41.0,0.41,10,40,0
0.75,8,100.0,73.0,51.0,0.51,10,10,1
0.75,9,100.0,63.0,38.0,0.38,10,nan,0
0.75,10,100.0,62.0,43.0,0.43,10,nan,0
0.75,11,100.0,68.0,42.0,0.42,10,nan,0
0.75,12,100.0,74.0,46.0,0.46,10,nan,0
0.75,13,100.0,66.0,43.0,0.43,10,nan,0
0.75,14,100.0,66.0,43.0,0.43,10,nan,0
0.75,15,100.0,60.0,38.0,0.38,10,nan,0
0.75,16,100.0,69.0,38.0,0.38,10,nan,0
0.75,17,100.0,60.0,47.0,0.47,10,190,0
0.75,18,100.0,73.0,46.0,0.46,10,30,0
0.75,19,100.0,70.0,28.0,0.28,10,nan,0
0.9,0,100.0,69.0,41.0,0.41,10,nan,0
0.9,1,100.0,68.0,37.0,0.37,10,nan,0
0.9,2,100.0,79.0,35.0,0.35,10,nan,0
0.9,3,100.0,75.0,26.0,0.26,10,nan,0
0.9,4,100.0,69.0,40.0,0.4,10,nan,0
0.9,5,100.0,82.0,34.0,0.34,10,nan,0
0.9,6,100.0,73.0,27.0,0.27,10,nan,0
0.9,7,100.0,82.0,34.0,0.34,10,nan,0
0.9,8,100.0,71.0,26.0,0.26,10,nan,0
0.9,9,100.0,76.0,45.0,0.45,10,nan,0
0.9,10,100.0,74.0,40.0,0.4,10,nan,0
0.9,11,100.0,75.0,39.0,0.39,10,nan,0
0.9,12,100.0,77.0,30.0,0.3,10,nan,0
0.9,13,100.0,78.0,45.0,0.45,10,nan,0
0.9,14,100.0,74.0,27.0,0.27,10,nan,0
0.9,15,100.0,68.0,31.0,0.31,10,nan,0
0.9,16,100.0,69.0,27.0,0.27,10,nan,0
0.9,17,100.0,75.0,41.0,0.41,10,nan,0
0.9,18,100.0,73.0,31.0,0.31,10,nan,0
0.9,19,100.0,73.0,33.0,0.33,10,nan,0
